期间:2024年第9期,,,,币别:人民币,,公司:南宁产投智创科电投资开发有限责任公司,,包含未过账凭证,,,
科目代码,科目名称,年初余额,年初余额,期初余额,期初余额,本期发生额,本期发生额,本年累计,本年累计,期末余额,期末余额
科目代码,科目名称,借方,贷方,借方,贷方,借方,贷方,借方,贷方,借方,贷方
1601.02,固定资产　_机器设备,16253119.79,,125120785.45,,,,108867665.66,,125120785.45,
1601.03,固定资产　_运输工具,,,,,,,,,,
1601.04,固定资产　_电子设备,,,,,,,,,,
1601.05,固定资产　_办公设备,,,,,,,,,,
1601.06,固定资产　_其他设备,,,,,,,,,,
1601.07,固定资产　_生产工具,,,,,,,,,,
1602,累计折旧　,,135442.66,,2279872.45,,521342.03,,2665771.82,,2801214.48
1602.01,累计折旧　_房屋建筑物,,,,,,,,,,
1602.02,累计折旧　_机器设备,,135442.66,,2279872.45,,521342.03,,2665771.82,,2801214.48
1602.03,累计折旧　_运输工具,,,,,,,,,,
1602.04,累计折旧　_电子设备,,,,,,,,,,
1602.05,累计折旧　_办公设备,,,,,,,,,,
1602.06,累计折旧　_其他设备,,,,,,,,,,
1602.07,累计折旧　_生产工具,,,,,,,,,,
1603,固定资产减值准备　,,,,,,,,,,
1603.01,固定资产减值准备　_房屋建筑物,,,,,,,,,,
1603.02,固定资产减值准备　_机器设备,,,,,,,,,,
1603.03,固定资产减值准备　_运输工具,,,,,,,,,,
1603.04,固定资产减值准备　_电子设备,,,,,,,,,,
1603.05,固定资产减值准备　_办公设备,,,,,,,,,,
1603.06,固定资产减值准备　_其他设备,,,,,,,,,,
1603.07,固定资产减值准备　_生产工具,,,,,,,,,,
1604,在建工程,96232386.45,,152141379.5,,1771945.12,,166548603.83,108867665.66,153913324.62,
1604.01,在建工程_土地费用,2194195.17,,2925593.57,,91424.8,,822823.2,,3017018.37,
1604.01.01,在建工程_土地费用_土地成本,2194195.17,,2925593.57,,91424.8,,822823.2,,3017018.37,
1604.01.02,在建工程_土地费用_土地征用及迁移补偿费,,,,,,,,,,
1604.01.03,在建工程_土地费用_土地交易服务费,,,,,,,,,,
1604.02,在建工程_前期费用,4120029.06,,4782810.59,,,,1381918.89,719137.36,4782810.59,
1604.02.01,在建工程_前期费用_勘察费,562603.15,,562603.15,,,,,,562603.15,
1604.02.02,在建工程_前期费用_设计费,2133702.86,,2271501.85,,,,469271.83,331472.84,2271501.85,
1604.02.03,在建工程_前期费用_可行性研究费,46990.1,,46990.1,,,,,,46990.1,
1604.02.04,在建工程_前期费用_地质灾害评估费,75000,,75000,,,,,,75000,
1604.02.05,在建工程_前期费用_图纸办证费,550,,550,,,,,,550,
1604.02.06,在建工程_前期费用_水土保持技术咨询费,82075.47,,39622.64,,,,43396.23,85849.06,39622.64,
1604.02.07,在建工程_前期费用_招标费,,,,,,,,,,
1604.02.08,在建工程_前期费用_测绘费,,,,,,,,,,
1604.02.09,在建工程_前期费用_图纸审查费,,,,,,,,,,
